No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
185,0.836047,12.31272,6.66574,3557.38,0.65299,4.24E-06,4.23E-06,4.24E-06,-2.694896667,-2.72111,-2.728936667,-12.37094729,-2.714981111,-6.04382,-143.588029,0.483860343,0.499011858,0.0171278,0.042363932,14.43940286,38.04900218,14.39703893,23.60959932,-10.74653,-12.35312,-16.53341,0.05576574,19.00730046,50.08578428
186,0.569913,5.79346,3.95002,1443.59,1.02128,9.09E-06,9.10E-06,9.10E-06,-3.983716667,-4.021946667,-4.00813,-11.60723614,-4.004597778,-8.44423,-38.29822815,0.225658648,0.749904544,0.024436808,0.091362152,12.51553674,17.05543895,12.42417459,4.53990221,-15.47834,-18.97705,-19.99007,0.188094382,25.76671078,35.11336124
191,0.704101,7.19603,5.3983,3916.42,0.722295,1.94E-06,1.94E-06,1.94E-06,-1.840653333,-1.880866667,-1.849906667,-13.15282258,-1.857142222,-4.08736,-41.013399,0.595628415,0.404371585,0,0.019204881,6.590441652,23.3070708,6.571236771,16.71662915,-8.44424,-9.71384,-13.22437,0.02796346,9.596078766,33.93649455
192,0.403587,6.19538,6.12107,666.48,1.38595,3.21E-06,3.20E-06,3.21E-06,-3.359766667,-3.339396667,-3.309216667,-12.64923962,-3.336126667,-7.04367,-37.39466743,0.136556404,0.859202714,0.004240882,0.031886977,5.769577619,9.066170142,5.737690642,3.296592523,-14.60163,-17.26038,-18.79806,0.089089308,16.11967418,25.33005332
194,0.278097,5.76612,5.29584,518.704,1.10605,6.89E-06,6.91E-06,6.91E-06,-4.280506667,-4.289016667,-4.258996667,-11.88398915,-4.276173334,2.33614,377.7846631,0.077691911,0.877382792,0.044925296,0.068487217,5.549509226,7.379953401,5.481022009,1.830444175,-18.1932,-18.96166,-19.30233,0.152703487,12.37354135,16.45481697
195,0.64235,7.26276,5.39457,2176.87,0.890275,5.54E-06,5.54E-06,5.56E-06,-3.65382,-3.648383333,-3.697606667,-12.10171263,-3.666603333,-6.61416,22.86710509,0.273800553,0.697563426,0.028636021,0.055265234,13.5121125,22.15940677,13.45684727,8.64729427,-13.43656,-16.34232,-19.05601,0.099183828,24.25002031,39.76921182
197,0.638593,6.30243,4.92881,1924.02,0.857628,1.20E-05,1.21E-05,1.21E-05,-4.265923333,-4.25856,-4.264646667,-11.32230511,-4.263043333,-6.63253,-155.2566994,0.313757039,0.67122553,0.015017431,0.119602749,16.35978075,22.42744737,16.240178,6.06766662,-15.9012,-18.79443,-20.29226,0.206778219,28.28401811,38.77425605
201,0.432615,6.03525,3.55595,896.895,1.10262,8.85E-06,8.89E-06,8.81E-06,-4.72474,-4.569246667,-4.545863333,-11.6350931,-4.613283333,-7.60354,-20.17564094,0.082576522,0.824587958,0.09283552,0.087795837,8.936329782,12.18610653,8.848533945,3.249776748,-17.36199,-19.15724,-19.89169,0.195148162,19.8632235,27.08666348
204,0.344648,4.52509,3.57977,531.68,1.68326,3.82E-06,3.84E-06,3.81E-06,-4.396506667,-4.238286667,-4.41098,-12.47526014,-4.348591111,-4.97671,127.1108841,0.062383613,0.88547486,0.052141527,0.038570905,6.182662545,8.809084069,6.14409164,2.626421524,-17.15536,-21.51008,-23.24225,0.13088073,20.97932072,29.891426
205,0.346474,4.55877,3.62097,568.755,1.638,3.72E-06,3.72E-06,3.73E-06,-4.285763333,-4.28339,-4.393596667,-12.50178689,-4.320916667,-4.91859,138.0259211,0.056497175,0.897363465,0.04613936,0.036869809,6.285329447,8.9944133,6.248459638,2.709083853,-16.8611,-21.1519,-22.31894,0.121744531,20.75422974,29.69965561
206,0.711098,5.50399,4.70691,3158.77,0.851411,4.43E-06,4.43E-06,4.44E-06,-2.738606667,-2.704473333,-2.72741,-12.32711097,-2.723496667,-12.4703,-119.0162736,0.356643357,0.643356643,0,0.044321621,13.58010923,24.22014829,13.53578761,10.64003906,-11.51406,-14.894,-17.56129,0.076071078,23.30811736,41.57006761
207,0.284464,5.25312,4.34053,470.194,1.36621,6.05E-06,6.00E-06,6.03E-06,-4.624636667,-4.559853333,-4.62821,-12.01876355,-4.604233333,26.7543,300.0544167,0.024440978,0.940717629,0.034841394,0.060638494,5.422756959,7.075165911,5.362118465,1.652408952,-17.53304,-21.8139,-22.617,0.167005411,14.93489853,19.4858235
210,0.505502,5.72951,3.71458,502.49,0.951333,2.72E-05,2.73E-05,2.72E-05,-5.536693333,-5.54256,-5.54642,-10.51229358,-5.541891111,-6.67097,-112.7648112,0.17680776,0.794091711,0.029100529,0.26958917,13.27414636,15.65742788,13.00455719,2.38328152,-19.54738,-22.13358,-22.22994,0.517010877,25.45680172,30.02739507
212,0.252899,6.82532,5.22176,528.638,1.26745,3.33E-06,3.31E-06,3.32E-06,-3.600913333,-3.642086667,-3.646013333,-12.61554578,-3.629671111,38.9854,702.241403,0.02310231,0.965676568,0.011221122,0.033734136,4.423918987,5.775058371,4.390184851,1.351139384,-15.7798,-19.03133,-19.98055,0.086191632,11.30323293,14.75543068
213,0.279587,7.01349,5.55881,559.187,1.21167,4.80E-06,4.80E-06,4.81E-06,-4.162906667,-4.22922,-4.194903333,-12.24689464,-4.195676667,2.56483,368.4268803,0.053090802,0.930346051,0.016563147,0.047567589,5.252604012,6.906653116,5.205036423,1.654049104,-17.34622,-19.29903,-19.57681,0.116187704,12.82991244,16.87006188
214,0.707358,11.54104,8.55611,2649.22,0.702067,9.80E-06,9.82E-06,9.84E-06,-3.559146667,-3.594363333,-3.570043333,-11.53108944,-3.574517778,-8.19287,-155.2289966,0.210340398,0.765253693,0.024405909,0.09811674,17.0503036,29.21122988,16.95218686,12.16092628,-14.40354,-15.21597,-17.66878,0.138862937,24.13100183,41.34215192
215,0.295088,5.84364,5.51512,526.241,1.43835,2.56E-06,2.55E-06,2.56E-06,-3.299906667,-3.27583,-3.227513333,-12.8755033,-3.26775,25.8379,189.2207881,0.076510721,0.908869396,0.014619883,0.025401096,4.750034216,6.588463334,4.72463312,1.838429118,-14.54706,-18.89087,-20.22028,0.073651519,13.77291895,19.10351955
216,0.424949,6.18949,5.58442,874.466,1.3312,3.02E-06,3.01E-06,3.01E-06,-3.366896667,-3.414893333,-3.384836667,-12.71357048,-3.388875556,13.1606,247.2033845,0.077838828,0.894688645,0.027472527,0.030239718,6.746300691,9.888892908,6.716060973,3.142592217,-14.17996,-17.43823,-18.95555,0.081149476,18.10396409,26.53723429
217,0.128369,5.84885,5.06329,107.883,2.03698,1.17E-06,1.17E-06,1.17E-06,-3.575796667,-3.57784,-3.51551,-13.65850681,-3.556382222,4.73082,277.0345523,0.030890805,0.961206897,0.007902299,0.011508914,1.142405655,1.762796171,1.130896741,0.620390516,-15.71284,-17.63728,-17.54797,0.047259137,4.691068615,7.238582684
218,0.670202,6.527,4.72033,1778.28,1.11548,5.16E-06,5.16E-06,5.14E-06,-3.52977,-3.503653333,-3.522586667,-12.17651384,-3.51867,-6.69283,-68.95784412,0.360454943,0.625546807,0.01399825,0.051544519,11.87542722,18.13252318,11.8238827,6.25709596,-13.42721,-17.10097,-18.81637,0.115906811,26.70396232,40.77413021
219,0.64873,6.61623,4.73547,1763.33,1.09675,4.15E-06,4.16E-06,4.16E-06,-3.253816667,-3.24074,-3.22939,-12.38999548,-3.241315556,-7.23822,-40.10857913,0.470809793,0.527306968,0.001883239,0.04138565,10.74104236,17.96035249,10.69965671,7.21931013,-12.81868,-16.06726,-18.27939,0.091500212,23.7475466,39.70883769
229,0.577379,6.77783,3.95582,1788.99,0.861557,1.09E-05,1.09E-05,1.09E-05,-4.207953333,-4.196373333,-4.202563333,-11.42674777,-4.202296666,-7.72835,34.45516597,0.164879357,0.792225201,0.042895442,0.108773993,13.95274806,20.37786443,13.84397407,6.42511637,-16.3957,-17.43454,-19.37747,0.188918184,24.23307039,35.39218375
230,0.582461,6.57804,4.65956,1641.58,0.884567,1.34E-05,1.34E-05,1.34E-05,-4.707563333,-4.8152,-4.816193333,-11.22025585,-4.779652222,-9.16308,-31.58890797,0.205012853,0.762639246,0.032347901,0.131266815,14.70413256,19.85250984,14.57286575,5.14837728,-17.26913,-18.75192,-19.87988,0.23407248,26.22012868,35.40061684
233,0.353496,5.94006,5.3696,645.178,1.37834,2.04E-06,2.04E-06,2.04E-06,-3.49362,-3.41028,-3.392246667,-13.10256075,-3.432048889,0.486954,45.45104293,0.148241206,0.849246231,0.002512563,0.01997797,4.762821737,8.323654301,4.742843767,3.560832564,-13.80271,-16.25747,-18.19749,0.055510149,13.23382425,23.12783981
235,0.569773,6.97816,5.10929,1627.24,0.905214,1.04E-05,1.03E-05,1.04E-05,-4.16235,-4.170176667,-4.26519,-11.47370475,-4.199238889,-8.38568,9.316583421,0.170138889,0.825462963,0.004398148,0.104846582,14.76574056,19.88940122,14.66089398,5.12366066,-16.51203,-18.88258,-20.21511,0.191324336,26.94456469,36.294235
237,0.364922,6.56684,4.20056,564.812,1.23903,1.43E-05,1.43E-05,1.43E-05,-5.85236,-5.76647,-5.749483333,-11.15525102,-5.789437778,27.7643,14.6738434,0.067096348,0.915716411,0.017187242,0.139190642,7.980193527,9.548471663,7.841002885,1.568278136,-20.53619,-23.18621,-23.37055,0.347661449,19.93241503,23.84955947
240,0.700487,11.63584,11.00756,1336.12,1.12398,2.87E-06,2.86E-06,2.86E-06,-3.019153333,-3.033913333,-2.966946667,-12.76468893,-3.006671111,-4.438,-43.78995474,0.41468254,0.533730159,0.051587302,0.028587298,8.475762542,17.92983951,8.447175244,9.454076968,-11.82372,-13.33276,-16.77024,0.064773351,19.20445737,40.62558819
241,0.697117,11.64384,11.09,1343.96,1.12075,2.80E-06,2.80E-06,2.79E-06,-2.985623333,-2.95859,-2.958663333,-12.78589114,-2.967625555,-4.21687,-35.93165589,0.390196078,0.566666667,0.043137255,0.027923032,8.307628216,17.81744224,8.279705184,9.509814024,-11.86104,-13.24258,-16.78813,0.063086437,18.76940374,40.25490289
242,0.696863,11.29577,10.54937,1329.9,1.14718,2.91E-06,2.92E-06,2.91E-06,-3.03393,-3.01539,-3.05503,-12.74735748,-3.034783333,-4.27138,-76.02343526,0.337254902,0.631372549,0.031372549,0.028948386,8.51645652,17.5644249,8.487508134,9.04796838,-12.12136,-13.51294,-16.87638,0.066945378,19.69496333,40.61908888
243,0.701401,11.49971,10.81134,1276.81,1.14506,2.91E-06,2.91E-06,2.91E-06,-3.02473,-2.99848,-3.022596667,-12.74735748,-3.015268889,-4.3518,-36.62721564,0.391397849,0.582795699,0.025806452,0.028543014,8.556339752,17.68757647,8.527796738,9.131236718,-12.01999,-13.67477,-17.06925,0.065885941,19.75062945,40.82829561
