No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
979,0.616556627,0.054710867,0.05847475,0.214411309,0.168601946,4.92E-06,4.94E-06,4.93E-06,-3.379026667,-3.54775,-3.384053333,-12.22017157,0.664394942,0.141275539,0.282245657,0.101868414,0.851514863,0.25199726,0.049507223,12.23633139,22.67902961,12.18682417,10.44269822,-13.64985,-14.75634,-17.8479,0.06953708,17.186962,31.85461457
980,0.564504289,0.076583965,0.080053591,0.159426809,0.198181734,4.66E-06,4.65E-06,4.66E-06,-3.490486667,-3.581246667,-3.550706667,-12.27649511,0.650247665,0.138947989,0.191186545,0.100146092,0.866463483,0.188695549,0.046522335,10.49918061,19.05406106,10.45265827,8.554880448,-13.8305,-14.7636,-17.3455,0.076076192,17.1689079,31.15837623
981,0.705457241,0.136430489,0.137846587,0.236170822,0.138673188,3.52E-06,3.51E-06,3.52E-06,-2.84148,-2.770633333,-2.818326667,-12.55704957,0.749765756,0.138956466,0.478990264,0.113946306,0.891928083,0,0.034993067,10.47412791,28.9692191,10.43913484,18.49509119,-11.57757,-12.00487,-13.66273,0.040983389,12.26715158,33.92834275
982,0.781444359,0.243053911,0.245406601,0.28672496,0.089186562,2.48E-06,2.47E-06,2.47E-06,-1.989026667,-1.951923333,-1.942346667,-12.907252,0.865407563,0.140609822,0.531738713,0.187789997,0.81130563,0,0.02545361,7.898217855,30.51873839,7.872764245,22.62052053,-8.44354,-9.0644,-9.99194,0.019987852,6.202201114,23.96532442
983,0.686634743,0.089073065,0.085998884,0.268480841,0.128731401,2.52E-06,2.52E-06,2.52E-06,-2.101893333,-2.11292,-2.109956667,-12.89125166,0.845364414,0.1403165,0.499355492,0.160682631,0.806176581,0.185531965,0.02511756,8.331589835,26.54380248,8.306472275,18.21221264,-9.74428,-10.7407,-14.06083,0.027469951,9.111886694,29.02976808
984,0.617508264,0.074196759,0.074691465,0.201283235,0.177018601,2.89E-06,2.88E-06,2.89E-06,-2.72933,-2.6918,-2.702083333,-12.75425406,0.763714027,0.215497003,0.80631336,0.10173098,0.904224394,0,0.029266037,10.08476631,21.8082256,10.05550027,11.72345929,-11.26814,-13.64465,-17.01828,0.04302756,14.82684128,32.06292437
985,0.763617761,0.248796985,0.248822387,0.274637913,0.111833466,3.81E-06,3.82E-06,3.81E-06,-3.126543333,-3.133913333,-3.23713,-12.47526014,0.701316669,0.123709688,0.193322096,0.182004189,0.790087184,0.159774276,0.038384003,10.52739289,29.47772745,10.48900888,18.95033456,-11.68726,-11.47556,-13.31799,0.036920695,10.12605859,28.35395223
986,0.709606821,0.166288987,0.168491527,0.209326781,0.136925749,2.40E-06,2.40E-06,2.39E-06,-2.254186667,-2.19856,-2.24435,-12.94004182,0.828460564,0.135796964,0.399221088,0.169401172,0.83610556,0,0.024366842,7.926160375,26.19211149,7.901793533,18.26595111,-9.68263,-10.79887,-12.17468,0.028206048,9.174995215,30.31890426
987,0.76874111,0.258160365,0.254646703,0.304585508,0.103522794,5.08E-06,5.11E-06,5.07E-06,-3.81802,-3.813696667,-3.751873333,-12.18823273,0.615691007,0.132487858,0.205484176,0.120849819,0.847856807,0.177942355,0.050045134,11.5269888,26.7788023,11.47694367,15.2518135,-13.76886,-13.01237,-13.39379,0.044893818,10.34047665,24.02236913
988,0.831648751,0.368501575,0.371293424,0.259295201,0.07444966,2.73E-06,2.73E-06,2.72E-06,-1.833516667,-1.859023333,-1.88682,-12.81120895,0.879206467,0.138771465,0.272569641,0.113037318,0.786057876,0,0.027235016,9.039629747,34.91687937,9.012394731,25.87724962,-7.94067,-8.68012,-9.17617,0.018256736,6.059630615,23.40620104
