No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
118,0.78767,31.00321,30.82864,2242.76001,0.4117,2.75E-06,2.74E-06,2.74E-06,-2.161296667,-2.213996667,-2.21431,-12.80755264,-2.196534444,-2.52775,647.07305,0.131455399,0.807511737,0,0.027885873,8.948396575,31.91107225,8.920510703,22.96267567,-8.71542,-9.51446,-10.13011,0.02314354,7.426612531,26.48420497
119,0.74386,23.37386,23.14667,2038.02002,0.5069,2.60E-06,2.62E-06,2.61E-06,-2.15244,-2.153986667,-2.168543333,-12.85616034,-2.158323333,-3.08254,505.8117685,0.161904762,0.838095238,0,0.026116627,8.299884511,28.38774071,8.273767884,20.0878562,-9.4255,-10.16289,-11.15909,0.026687264,8.481233435,29.00800069
120,0.72878,17.18555,16.8085,2647.34009,0.5601,3.99E-06,3.99E-06,3.98E-06,-2.98657,-2.86696,-2.918806667,-12.43422874,-2.924112222,-3.24369,414.0788864,0.221393035,0.757048093,0.021558872,0.040616414,10.25206653,25.46856742,10.21145011,15.21650089,-12.15126,-12.15669,-11.7083,0.045859765,11.57555078,28.75641654
121,0.82131,32.49748,32.26851,2602.62012,0.34783,2.57E-06,2.56E-06,2.57E-06,-1.86153,-1.91658,-1.85672,-12.87160466,-1.878276667,-1.98506,599.4114147,0.228357192,0.734151329,0.035446489,0.02576236,8.325702901,31.13938439,8.299940541,22.81368149,-7.947,-8.59825,-9.17972,0.018064143,5.837845836,21.83442379
122,0.52471,5.97531,5.24918,1209.20996,0.89904,2.58E-06,2.59E-06,2.58E-06,-2.478426667,-2.422283333,-2.48926,-12.86772116,-2.463323333,-2.8148,318.1370844,0.139455782,0.860544218,0,0.026061055,7.713536653,23.81456393,7.687475598,16.10102728,-10.46323,-10.8904,-11.13321,0.047231929,13.97968026,43.16048581
123,0.7245,23.65772,23.42499,1707.31006,0.58397,2.71E-06,2.71E-06,2.72E-06,-2.485286667,-2.496303333,-2.480573333,-12.81856192,-2.487387778,-2.99444,768.1497157,0.142512077,0.850241546,0,0.026966393,8.612585812,26.34352353,8.585619419,17.73093772,-10.14221,-11.19367,-11.49399,0.0317452,10.1388518,31.01195005
125,0.82172,12.61055,10.60686,6156.06982,0.35693,4.33E-06,4.33E-06,4.32E-06,-2.19973,-2.210803333,-2.140896667,-12.35225516,-2.18381,-6.97831,-6.851793805,0.452528671,0.512032337,0.035438992,0.042790191,14.49078299,57.6423622,14.44799279,43.15157921,-8.83686,-9.52752,-13.11361,0.030788743,10.4265248,41.47529638
126,0.52887,9.14896,8.56216,1128.28003,0.99606,3.77E-06,3.77E-06,3.77E-06,-3.570503333,-3.526463333,-3.538453333,-12.48843556,-3.54514,30.9848,771.0281856,0.138888889,0.861111111,0,0.037803842,9.80015706,14.905085,9.762353218,5.104927939,-13.22131,-16.73333,-19.17585,0.075907749,19.67810221,29.92847811
127,0.86251,26.99886,26.65941,4453.25,0.28166,2.96E-06,2.94E-06,2.95E-06,-2.605123333,-2.517516667,-2.45881,-12.73370539,-2.52715,-3.62692,849.3920109,0.116743472,0.878648233,0,0.029697899,8.957071065,26.41820274,8.927373166,17.46113167,-10.65086,-11.08169,-10.90657,0.016862252,5.085760109,15.00006427
128,0.64798,16.54198,16.21639,1601.43005,0.69805,2.54E-06,2.54E-06,2.55E-06,-2.611066667,-2.58236,-2.634516667,-12.88334648,-2.609314444,1.98035,473.9861235,0.149206349,0.850793651,0,0.025387599,8.267195586,23.19091596,8.241807987,14.92372038,-10.66634,-11.90975,-13.89818,0.035725049,11.6334739,32.63390986
