No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
2282,0.663187953,0.051397129,0.056264509,0.199871645,0.228174599,3.51E-06,3.51E-06,3.51E-06,-3.298126667,-3.25988,-3.282943333,-12.55989452,0.685727771,0.135977629,0.120143383,0.860578054,0.140346291,0,0.034732275,10.38203376,21.44177217,10.34730149,11.05973841,-12.1297,-13.65618,-16.88589,0.064920187,19.40568453,40.07810763
2283,0.22240955,0.011626547,0.01288236,0.035880824,0.392149969,1.24E-06,1.23E-06,1.23E-06,-2.810243333,-2.825793333,-2.742353333,-13.60849639,0.752128856,0.470447172,0.337224048,0.023314778,0.977268885,0.02824107,0.012364952,3.030414279,5.339197042,3.018049327,2.308782763,-12.84311,-15.70383,-18.58146,0.03892385,9.539494362,16.80735219
2284,0.227489743,0.019688141,0.020600436,0.044484982,0.395727565,1.29E-06,1.28E-06,1.29E-06,-2.876253333,-2.869853333,-2.899516667,-13.56086834,0.739996306,0.470201928,0.198702899,0.044146109,0.953198604,0.043104796,0.012952855,3.084453537,5.338200523,3.071500682,2.253746986,-12.90952,-15.89435,-18.43203,0.041135902,9.795661064,16.95314985
2285,0.205243565,0.022901372,0.019899744,0.042329242,0.40581411,1.14E-06,1.14E-06,1.14E-06,-2.817,-2.769536667,-2.77366,-13.6844823,0.752954844,0.568556919,0.224856526,0.053308013,0.952966041,0,0.01150275,2.678467354,4.596929675,2.666964604,1.918462321,-12.74882,-15.40678,-17.31788,0.037435435,8.717010371,14.96060185
2286,0.239463772,0.023954969,0.024844464,0.041666916,0.444035445,1.29E-06,1.28E-06,1.29E-06,-3.00031,-2.96396,-3.061746667,-13.56086834,0.722726224,0.380956541,0.298364469,0.044699494,0.96163399,0,0.012781592,3.126843265,5.142159491,3.114061673,2.015316226,-13.4507,-16.96939,-19.01087,0.045407181,11.10825143,18.26775302
2287,0.62246895,0.035680455,0.018511395,0.179256396,0.274430532,6.71E-06,6.71E-06,6.74E-06,-3.8076,-3.785276667,-3.814753333,-11.9104224,0.614599576,0.102916458,0.084273424,0.279607355,0.712872248,0.058942539,0.066381894,11.92264867,17.00610133,11.85626678,5.08345266,-15.09555,-17.39874,-19.51245,0.148024044,26.58614522,37.92166422
2288,0.706105682,0.053864225,0.031432522,0.212041282,0.22957074,5.87E-06,5.87E-06,5.88E-06,-3.56912,-3.566406667,-3.589496667,-12.04565592,0.645590321,0.070055558,0.1398173,0.276710029,0.691023148,0.177655336,0.058573584,14.93189554,23.89612489,14.87332196,8.96422935,-13.61641,-16.45368,-18.9276,0.110121149,28.07268019,44.92586156
2293,0.384200035,0.017742969,0.007084112,0.068458046,0.30517097,6.09E-06,6.10E-06,6.10E-06,-4.05233,-4.04379,-3.998916667,-12.00722179,0.583390909,0.121279641,0.139667505,0.118004645,0.857942975,0.143323444,0.060749246,7.25262505,10.38850348,7.191875804,3.13587843,-15.78671,-18.17544,-18.95951,0.150027205,17.91118632,25.65559644
2295,0.400183113,0.025569484,0.006092227,0.082293007,0.290185911,7.97E-06,7.96E-06,7.97E-06,-4.185806667,-4.211366667,-4.203573333,-11.73982607,0.560431377,0.121843766,0.115040179,0.163406782,0.821324704,0.099775568,0.079808369,8.810949742,11.40505653,8.731141373,2.594106788,-16.43267,-20.27944,-20.95158,0.187769436,20.72999467,26.83328903
2296,0.775535357,0.052990242,0.050737402,0.355992682,0.167131099,3.56E-06,3.57E-06,3.56E-06,-2.221343333,-2.1989,-2.20357,-12.54575001,0.83178767,0.082845758,0.106159804,0.545323075,0.457691357,0,0.035642687,13.41048273,31.77029328,13.37484004,18.35981055,-9.87241,-12.51332,-16.45254,0.049654333,18.68233381,44.25964644
2297,0.639547516,0.070337566,0.070757011,0.228357657,0.220934362,3.38E-06,3.40E-06,3.40E-06,-3.1005,-3.114206667,-3.04081,-12.59468064,0.712306789,0.125459783,0.150916812,0.24358982,0.757373124,0.019422713,0.033968883,7.357153625,18.46923662,7.323184742,11.112083,-12.92487,-11.83059,-13.81438,0.061575307,13.33629353,33.47913792
2298,0.242292126,0.022163753,0.017873532,0.037599504,0.33132309,2.79E-05,2.80E-05,2.82E-05,-6.847556667,-6.87693,-6.73047,-10.48330605,0.203845617,0.160191413,0.223026691,0.036337247,0.939415364,0.146853574,0.244854871,4.944363527,5.825883074,4.699508656,0.881519547,-24.52686,-21.11028,-20.45254,0.654634397,13.21905675,15.5758529
2301,0.264928918,0.006058493,0.003506019,0.028204575,0.485206229,2.80E-06,2.80E-06,2.80E-06,-3.935956667,-3.80758,-3.850083333,-12.78589114,0.606155521,0.211683497,0.2172278,0.07094575,0.921425317,0.066094017,0.027612791,3.951980392,5.541984208,3.924367601,1.590003816,-16.14188,-19.07244,-19.9553,0.1069613,15.30844742,21.4675088
2302,0.263312242,0.005528052,0.003847564,0.030218395,0.475303217,3.00E-06,2.99E-06,3.00E-06,-3.97798,-3.93287,-4.02585,-12.71689827,0.590579487,0.211670232,0.152696337,0.067649703,0.924980949,0.064954467,0.0303108,4.113488722,5.714781772,4.083177922,1.60129305,-16.4744,-19.42788,-20.14953,0.115071492,15.61639038,21.69551666
2303,0.263497036,0.00620382,0.004271543,0.030277727,0.474473442,2.97E-06,2.94E-06,2.97E-06,-3.99583,-3.992026667,-3.95704,-12.73032129,0.590207353,0.209150952,0.195762982,0.072912993,0.921514052,0.056176287,0.029931472,4.100104956,5.733468467,4.070173484,1.633363511,-16.41899,-19.12686,-20.61382,0.113437731,15.53904877,21.72935744
2304,0.525452863,0.03078111,0.018390306,0.133443404,0.313936596,6.29E-06,6.32E-06,6.29E-06,-4.31966,-4.250276667,-4.226403333,-11.97496092,0.551551324,0.112019267,0.203784432,0.123243507,0.861636511,0.100339969,0.061885727,9.07297893,13.8580256,9.011093203,4.78504667,-16.53641,-17.28179,-19.41953,0.157064289,23.02697339,35.1712915
2305,0.43618266,0.017780505,0.01117831,0.094449712,0.284268919,9.35E-06,9.33E-06,9.35E-06,-4.155936667,-4.110776667,-4.077946667,-11.58120431,0.572057862,0.080498149,0.122413765,0.0912798,0.900160801,0.069907952,0.093816443,10.28914029,12.9879918,10.19532385,2.69885151,-16.54815,-20.857,-21.0828,0.216397966,23.73303608,29.95823454
